Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Customer Status,City,Zip Code,Latitude,Longitude,NPS_baseline,NPS_enrichi,NPS_enrichi_v2,NPS_label
0094-OIFMO,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,Churned,North Hollywood,91605,34.207295,-118.400022,Detracteur,Detracteur,Detracteur,Detracteur
9947-OTFQU,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,Yes,1,86,4616,Competitor,Competitor had better devices,Churned,Covina,91722,34.097345,-117.906736,Detracteur,Detracteur,Detracteur,Detracteur
9514-JDSKI,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,Yes,1,65,5828,Dissatisfaction,Limited range of services,Churned,El Monte,91732,34.074492,-118.01462,Detracteur,Detracteur,Detracteur,Detracteur
7273-TEFQD,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,Yes,1,96,2314,Price,Long distance charges,Churned,La Puente,91746,34.038983,-117.991372,Detracteur,Detracteur,Detracteur,Detracteur
3606-TWKGI,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.1399999999999,1,Yes,1,84,2494,Competitor,Competitor had better devices,Churned,Rowland Heights,91748,33.976753,-117.897367,Detracteur,Detracteur,Detracteur,Detracteur
4385-GZQXV,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Yes,1,81,3810,Competitor,Competitor had better devices,Churned,Ontario,91764,34.074087,-117.605618,Detracteur,Detracteur,Detracteur,Detracteur
3488-PGMQJ,No,0,8,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,Churned,Alpine,91901,32.827184,-116.703729,Detracteur,Detracteur,Detracteur,Detracteur
7534-BFESC,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,Yes,1,91,2018,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
8098-LLAZX,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,Yes,1,85,3677,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
0265-EDXBD,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,Yes,1,69,4105,Attitude,Attitude of support person,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
2840-XANRC,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,2,Yes,1,73,2212,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
5020-ZSTTY,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Yes,1,83,4149,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
5804-LEPIM,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39000000000001,3,Yes,1,73,2671,Other,Don't know,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
0623-IIHUG,No,0,21,,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,Yes,1,90,4778,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
9057-MSWCO,No,0,27,,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,Yes,1,91,2927,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
4895-TMWIR,Yes,1,11,,Yes,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,Yes,1,80,5888,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
0533-BNWKF,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,Yes,1,91,5502,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
0334-GDDSO,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,Yes,1,73,2818,Competitor,Competitor made better offer,Churned,San Diego,92122,32.85723,-117.209774,Detracteur,Detracteur,Detracteur,Detracteur
5564-NEMQO,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,Yes,1,67,4902,Dissatisfaction,Network reliability,Churned,Thermal,92274,33.53604,-116.119222,Detracteur,Detracteur,Detracteur,Detracteur
6235-VDHOM,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,Yes,1,89,4099,Dissatisfaction,Limited range of services,Churned,Riverside,92509,34.004379,-117.447864,Detracteur,Detracteur,Detracteur,Detracteur
5609-CEBID,No,0,20,,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.5999999999999,2837.0,1,Yes,1,87,2666,Competitor,Competitor had better devices,Churned,Hemet,92544,33.644585,-116.871544,Detracteur,Detracteur,Detracteur,Detracteur
5956-VKDTT,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,563.6,1,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction,Churned,Moreno Valley,92557,33.970661,-117.255039,Detracteur,Detracteur,Detracteur,Detracteur
0257-ZESQC,Yes,2,27,,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,Yes,1,91,4517,Attitude,Attitude of support person,Churned,Perris,92571,33.828289,-117.201666,Detracteur,Detracteur,Detracteur,Detracteur
2865-TCHJW,No,0,4,,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Yes,1,74,5808,Competitor,Competitor had better devices,Churned,Anaheim,92807,33.848733,-117.788357,Detracteur,Detracteur,Detracteur,Detracteur
5192-EBGOV,No,0,1,,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,Yes,1,66,4880,Competitor,Competitor had better devices,Churned,Brea,92823,33.924143,-117.79387,Detracteur,Detracteur,Detracteur,Detracteur
3419-SNJJD,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,1,Yes,1,91,4196,Attitude,Attitude of support person,Churned,Yorba Linda,92887,33.884073,-117.732197,Detracteur,Detracteur,Detracteur,Detracteur
4554-YGZIH,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,Yes,1,96,5059,Competitor,Competitor made better offer,Churned,Summerland,93067,34.420998,-119.60137,Detracteur,Passif,Passif,Passif
5099-BAILX,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,Yes,1,65,2728,Competitor,Competitor made better offer,Churned,Santa Barbara,93101,34.419203,-119.710008,Detracteur,Passif,Passif,Passif
4913-EHYUI,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,Yes,1,91,6268,Competitor,Competitor offered higher download speeds,Churned,Alpaugh,93201,35.869626,-119.498771,Detracteur,Detracteur,Detracteur,Detracteur
1626-ERCMM,Yes,7,20,,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001,1,Yes,1,84,5604,Competitor,Competitor had better devices,Churned,Camp Nelson,93208,36.057458,-118.591951,Detracteur,Detracteur,Detracteur,Detracteur
5644-PDMZC,No,0,2,,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,Yes,1,80,2065,Attitude,Attitude of support person,Churned,Delano,93215,35.772244,-119.209689,Detracteur,Detracteur,Detracteur,Detracteur
4160-AMJTL,No,0,8,,Yes,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,Yes,1,83,5432,Attitude,Attitude of support person,Churned,Fellows,93224,35.215731,-119.57013,Detracteur,Detracteur,Detracteur,Detracteur
0823-HSCDJ,No,0,52,,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,Yes,1,90,5597,Competitor,Competitor made better offer,Churned,Temecula,92592,33.507255,-117.029473,Detracteur,Passif,Passif,Passif
0067-DKWBL,No,0,2,,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,Yes,1,95,3475,Competitor,Competitor made better offer,Churned,San Diego,92129,32.961064,-117.134917,Detracteur,Detracteur,Detracteur,Detracteur
5244-IRFIH,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,Yes,1,91,4333,Other,Poor expertise of online support,Churned,San Diego,92129,32.961064,-117.134917,Detracteur,Passif,Passif,Passif
2684-EIWEO,No,0,30,,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,Yes,1,90,2482,Competitor,Competitor made better offer,Churned,San Diego,92129,32.961064,-117.134917,Detracteur,Detracteur,Detracteur,Detracteur
6683-VLCTZ,No,0,20,,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,Yes,1,92,5444,Competitor,Competitor made better offer,Churned,San Diego,92129,32.961064,-117.134917,Detracteur,Passif,Passif,Passif
0691-IFBQW,No,0,46,,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001,1,Yes,1,81,2403,Competitor,Competitor made better offer,Churned,Biola,93606,36.798882,-120.019511,Detracteur,Detracteur,Detracteur,Detracteur
3643-AHCFP,Yes,1,7,,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,Yes,1,83,3265,Competitor,Competitor made better offer,Churned,Selma,93662,36.545322,-119.642281,Detracteur,Detracteur,Detracteur,Detracteur
9231-ZJYAM,No,0,4,,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,Yes,1,72,5301,Other,Moved,Churned,Squaw Valley,93675,36.719141,-119.202677,Detracteur,Detracteur,Detracteur,Detracteur
0727-BMPLR,No,0,55,,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,Yes,1,83,5679,Competitor,Competitor offered higher download speeds,Churned,Fresno,93706,36.654614,-119.903674,Detracteur,Passif,Passif,Passif
0947-MUGVO,Yes,1,20,,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,Yes,1,95,5849,Competitor,Competitor had better devices,Churned,Jolon,93928,35.930782,-121.189757,Detracteur,Detracteur,Detracteur,Detracteur
0781-LKXBR,No,0,9,,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,Yes,1,70,4038,Competitor,Competitor had better devices,Churned,San Francisco,94102,37.7795,-122.419233,Detracteur,Detracteur,Detracteur,Detracteur
1907-UBQFC,No,0,10,,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,Yes,1,91,3189,Competitor,Competitor had better devices,Churned,San Francisco,94108,37.791998,-122.408653,Detracteur,Detracteur,Detracteur,Detracteur
6513-EECDB,No,0,1,,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,2,Yes,1,94,4369,Price,Price too high,Churned,San Francisco,94114,37.758085,-122.434801,Detracteur,Detracteur,Detracteur,Detracteur
7074-IEVOJ,No,0,3,,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.69999999999999,330.75,1,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction,Churned,San Francisco,94130,37.820894,-122.369725,Detracteur,Detracteur,Detracteur,Detracteur
4750-ZRXIU,No,0,4,,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82000000000005,1,Yes,1,83,2467,Competitor,Competitor had better devices,Churned,Palo Alto,94304,37.386978,-122.177746,Detracteur,Detracteur,Detracteur,Detracteur
7028-DVOIQ,No,0,35,,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,Yes,1,82,2074,Other,Don't know,Churned,Birds Landing,94512,38.140719,-121.838298,Detracteur,Detracteur,Detracteur,Detracteur
4208-UFFGW,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39000000000001,2,Yes,1,84,5900,Other,Don't know,Churned,Byron,94514,37.83323,-121.601461,Detracteur,Detracteur,Detracteur,Detracteur
9889-TMAHG,No,0,8,,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.9100000000001,1,Yes,1,74,5084,Competitor,Competitor had better devices,Churned,Fremont,94539,37.516791,-121.899117,Detracteur,Detracteur,Detracteur,Detracteur
8919-FYFQZ,Yes,2,44,,No,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,Yes,1,96,4829,Competitor,Competitor had better devices,Churned,Livermore,94550,37.571748,-121.659562,Detracteur,Detracteur,Detracteur,Detracteur
6646-QVXLR,Yes,1,62,,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,Yes,1,91,5052,Competitor,Competitor had better devices,Churned,Napa,94558,38.489789,-122.27011,Detracteur,Detracteur,Detracteur,Detracteur
9369-XFEHK,Yes,1,33,,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,2,Yes,1,72,3601,Competitor,Competitor offered more data,Churned,Pleasanton,94566,37.633361,-121.862395,Detracteur,Detracteur,Detracteur,Detracteur
1374-DMZUI,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,Yes,1,91,5419,Competitor,Competitor made better offer,Churned,San Ramon,94583,37.766556,-121.976784,Detracteur,Detracteur,Detracteur,Detracteur
1989-PRJHP,Yes,1,27,,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,Yes,1,65,2377,Competitor,Competitor had better devices,Churned,Pleasanton,94588,37.685052,-121.912061,Detracteur,Detracteur,Detracteur,Detracteur
4822-RVYBB,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,Yes,1,90,5906,Attitude,Attitude of support person,Churned,Berkeley,94704,37.871416,-122.246597,Detracteur,Detracteur,Detracteur,Detracteur
4184-TJFAN,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,Yes,1,68,4486,Attitude,Attitude of support person,Churned,Berkeley,94707,37.897753,-122.279391,Detracteur,Detracteur,Detracteur,Detracteur
4145-UQXUQ,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,Yes,1,81,5662,Competitor,Competitor had better devices,Churned,Berkeley,94710,37.872902,-122.303708,Detracteur,Detracteur,Detracteur,Detracteur
1236-WFCDV,No,0,14,,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,Yes,1,96,4777,Competitor,Competitor offered more data,Churned,Greenbrae,94904,37.946617,-122.563571,Detracteur,Passif,Passif,Passif
1271-SJBGZ,No,0,12,,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,Yes,1,74,2437,Competitor,Competitor had better devices,Churned,Forest Knolls,94933,38.010092,-122.689442,Detracteur,Detracteur,Detracteur,Detracteur
4441-NIHPT,No,0,13,,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.1599999999999,1,Yes,1,90,2995,Competitor,Competitor had better devices,Churned,Freedom,95019,36.936228,-121.785559,Detracteur,Detracteur,Detracteur,Detracteur
8999-BOHSE,No,0,11,,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,Yes,1,89,2202,Attitude,Attitude of support person,Churned,Gilroy,95020,37.03889,-121.528955,Detracteur,Detracteur,Detracteur,Detracteur
